table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
z_id_tables_licensed_cardInfo,left,POSITIVE,otsu,5.05,302.0,0.5496688741721855,False,duplicate,
z_id_tables_licensed_dataset_100,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,True,,0.9483
z_id_tables_licensed_dataset_100_2,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_100_3,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_100_4,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_1,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_2,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_3,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_4,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_5,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_dataset_sorted_100_6,CustomerAge,NEGATIVE,otsu,50.407407407407405,100.0,0.51,False,duplicate,
z_id_tables_licensed_django_admin_log_1,action_flag,POSITIVE,otsu,1.9999999999999998,60.0,0.5833333333333334,True,,0.2305
z_id_tables_licensed_edison_bubbles_sample_patterns,active,NEGATIVE,otsu,0.25,36.0,0.027777777777777776,False,extreme_pos_rate,
z_id_tables_licensed_edison_holiday_sample_patterns,active,NEGATIVE,otsu,0.25,52.0,0.07692307692307693,False,concept_cap,
z_id_tables_licensed_edison_omar_sample_patterns,active,NEGATIVE,otsu,0.25,38.0,0.13157894736842105,False,duplicate,
z_id_tables_licensed_edison_omar_sample_patterns_1,active,NEGATIVE,otsu,0.25,38.0,0.13157894736842105,False,duplicate,
z_id_tables_licensed_edison_onward_sample_patterns,active,NEGATIVE,otsu,0.25,50.0,0.08,False,concept_cap,
z_id_tables_licensed_funding,active,NEGATIVE,otsu,0.25,37.0,0.6756756756756757,False,concept_cap,
z_id_tables_licensed_ging@planet2012,test_churn,POSITIVE,otsu,112.86363636363637,30.0,0.3,True,,1.0
z_id_tables_licensed_grid_bogota,left,POSITIVE,otsu,-74.07719103164388,86.0,0.4418604651162791,True,,0.0003
z_id_tables_licensed_parksIDs,Active,NEGATIVE,otsu,0.25,93.0,0.08602150537634409,False,duplicate,
z_id_tables_licensed_races_4,Cancelled,POSITIVE,otsu,0.25,99.0,0.10101010101010101,True,,0.702
z_id_tables_licensed_sel_words,left,POSITIVE,otsu,212.5916748046875,39.0,0.46153846153846156,False,concept_cap,
z_id_tables_licensed_sel_words_1,left,POSITIVE,otsu,212.5916748046875,39.0,0.46153846153846156,False,duplicate,
