fraction,seed,method,metric,value
0.25,2,vla_st,accuracy,0.71
0.25,2,routed,auc,0.7041666666666667
0.25,2,routed,accuracy,0.7
0.25,2,oracle,auc,0.7636904761904761
0.25,2,oracle,accuracy,0.755
0.25,3,uda,auc,0.5
0.25,3,uda,accuracy,0.7
0.25,3,uda_cal,auc,
0.25,3,uda_cal,accuracy,
0.25,3,target_only,auc,0.7319047619047618
0.25,3,target_only,accuracy,0.73
0.25,3,target_only_cal,auc,0.7319047619047618
0.25,3,target_only_cal,accuracy,0.73
0.25,3,vla,auc,0.7360714285714286
0.25,3,vla,accuracy,0.735
0.25,3,vla_st,auc,0.7266666666666667
0.25,3,vla_st,accuracy,0.7
0.25,3,routed,auc,0.7319047619047618
0.25,3,routed,accuracy,0.73
0.25,3,oracle,auc,0.7636904761904761
0.25,3,oracle,accuracy,0.755
0.25,4,uda,auc,0.5
0.25,4,uda,accuracy,0.7
0.25,4,uda_cal,auc,
0.25,4,uda_cal,accuracy,
0.25,4,target_only,auc,0.7654761904761905
0.25,4,target_only,accuracy,0.725
0.25,4,target_only_cal,auc,0.7654761904761905
0.25,4,target_only_cal,accuracy,0.725
0.25,4,vla,auc,0.7382142857142857
0.25,4,vla,accuracy,0.755
0.25,4,vla_st,auc,0.7585714285714286
0.25,4,vla_st,accuracy,0.725
0.25,4,routed,auc,0.7382142857142857
0.25,4,routed,accuracy,0.755
0.25,4,oracle,auc,0.7636904761904761
0.25,4,oracle,accuracy,0.755
