fraction,seed,method,auc
0.05,0,vla_st,0.9074850759867887
0.05,0,routed,0.9067774825802574
0.05,0,oracle,0.9264249630964727
0.05,1,uda,0.6503441297806947
0.05,1,target_only,0.9091205673317992
0.05,1,vla,0.9064343485587796
0.05,1,vla_st,0.9079799337825878
0.05,1,routed,0.9064343485587796
0.05,1,oracle,0.9264249630964727
0.05,2,uda,0.6503441297806947
0.05,2,target_only,0.9111449803547642
0.05,2,vla,0.9063910359107611
0.05,2,vla_st,0.911300502979277
0.05,2,routed,0.9063910359107611
0.05,2,oracle,0.9264249630964727
0.05,3,uda,0.6503441297806947
0.05,3,target_only,0.9062092954640922
0.05,3,vla,0.9055016157200566
0.05,3,vla_st,0.9075903214045983
0.05,3,routed,0.9055016157200566
0.05,3,oracle,0.9264249630964727
0.05,4,uda,0.6503441297806947
0.05,4,target_only,0.908460776123513
0.05,4,vla,0.9033320981314376
0.05,4,vla_st,0.9083551277973496
0.05,4,routed,0.9033320981314376
0.05,4,oracle,0.9264249630964727
0.1,0,uda,0.6503441297806947
0.1,0,target_only,0.9144550163759222
0.1,0,vla,0.909206185356952
0.1,0,vla_st,0.913241916881388
0.1,0,routed,0.909206185356952
0.1,0,oracle,0.9264249630964727
0.1,1,uda,0.6503441297806947
0.1,1,target_only,0.9170058867212804
0.1,1,vla,0.911954595912276
0.1,1,vla_st,0.9152471054200497
0.1,1,routed,0.911954595912276
0.1,1,oracle,0.9264249630964727
0.1,2,uda,0.6503441297806947
0.1,2,target_only,0.9183628820564075
0.1,2,vla,0.912602904232483
0.1,2,vla_st,0.9173318108002232
0.1,2,routed,0.912602904232483
0.1,2,oracle,0.9264249630964727
0.1,3,uda,0.6503441297806947
0.1,3,target_only,0.9150734806987906
0.1,3,vla,0.9122399701433397
0.1,3,vla_st,0.915426485974933
0.1,3,routed,0.9122399701433397
0.1,3,oracle,0.9264249630964727
0.1,4,uda,0.6503441297806947
0.1,4,target_only,0.9150826900325884
0.1,4,vla,0.9108623113655036
0.1,4,vla_st,0.9150643577024968
0.1,4,routed,0.9108623113655036
0.1,4,oracle,0.9264249630964727
0.25,0,uda,0.6503441297806947
0.25,0,target_only,0.9223344935942751
0.25,0,vla,0.918588942421979
0.25,0,vla_st,0.9213857883172464
0.25,0,routed,0.918588942421979
0.25,0,oracle,0.9264249630964727
0.25,1,uda,0.6503441297806947
0.25,1,target_only,0.9229926156108108
0.25,1,vla,0.9193987882128356
0.25,1,vla_st,0.9225232849371331
0.25,1,routed,0.9193987882128356
0.25,1,oracle,0.9264249630964727
0.25,2,uda,0.6503441297806947
0.25,2,target_only,0.9232432246067873
0.25,2,vla,0.9199241519268401
0.25,2,vla_st,0.9226086151706048
0.25,2,routed,0.9199241519268401
0.25,2,oracle,0.9264249630964727
0.25,3,uda,0.6503441297806947
0.25,3,target_only,0.9215898901775434
0.25,3,vla,0.9185751859796182
0.25,3,vla_st,0.921320143034768
0.25,3,routed,0.9185751859796182
0.25,3,oracle,0.9264249630964727
0.25,4,uda,0.6503441297806947
0.25,4,target_only,0.9209715409713477
0.25,4,vla,0.917106757705536
0.25,4,vla_st,0.9202826540240933
0.25,4,routed,0.917106757705536
0.25,4,oracle,0.9264249630964727
