fraction,seed,method,metric,value
0.1,3,target_only,accuracy,0.9846176171818314
0.1,3,target_only_cal,auc,0.604417258569202
0.1,3,target_only_cal,accuracy,0.9846176171818314
0.1,3,vla,auc,0.621899947650831
0.1,3,vla,accuracy,0.9836017994485561
0.1,3,vla_st,auc,0.621899947650831
0.1,3,vla_st,accuracy,0.9836017994485561
0.1,3,routed,auc,0.604417258569202
0.1,3,routed,accuracy,0.9846176171818314
0.1,3,oracle,auc,0.7326050552640658
0.1,3,oracle,accuracy,0.985778551734146
0.1,4,uda,auc,0.4916047994669902
0.1,4,uda,accuracy,0.9856334349151067
0.1,4,uda_cal,auc,0.4916047994669902
0.1,4,uda_cal,accuracy,0.9856334349151067
0.1,4,target_only,auc,0.5835549249860204
0.1,4,target_only,accuracy,0.9847627340008707
0.1,4,target_only_cal,auc,0.5835549249860204
0.1,4,target_only_cal,accuracy,0.9847627340008707
0.1,4,vla,auc,0.5934700360495413
0.1,4,vla,accuracy,0.9851980844579887
0.1,4,vla_st,auc,0.5934700360495413
0.1,4,vla_st,accuracy,0.9851980844579887
0.1,4,routed,auc,0.5934700360495413
0.1,4,routed,accuracy,0.9851980844579887
0.1,4,oracle,auc,0.7326050552640658
0.1,4,oracle,accuracy,0.985778551734146
0.25,0,uda,auc,0.4916047994669902
0.25,0,uda,accuracy,0.9856334349151067
0.25,0,uda_cal,auc,0.4916047994669902
0.25,0,uda_cal,accuracy,0.9856334349151067
0.25,0,target_only,auc,0.6702939286861548
0.25,0,target_only,accuracy,0.9854883180960673
0.25,0,target_only_cal,auc,0.6702939286861548
0.25,0,target_only_cal,accuracy,0.9854883180960673
0.25,0,vla,auc,0.6906045139260687
0.25,0,vla,accuracy,0.9851980844579887
0.25,0,vla_st,auc,0.6906045139260687
0.25,0,vla_st,accuracy,0.9851980844579887
0.25,0,routed,auc,0.6702939286861548
0.25,0,routed,accuracy,0.9854883180960673
0.25,0,oracle,auc,0.7326050552640658
0.25,0,oracle,accuracy,0.985778551734146
0.25,1,uda,auc,0.4916047994669902
0.25,1,uda,accuracy,0.9856334349151067
0.25,1,uda_cal,auc,0.4916047994669902
0.25,1,uda_cal,accuracy,0.9856334349151067
0.25,1,target_only,auc,0.6681337818705311
0.25,1,target_only,accuracy,0.9849078508199101
0.25,1,target_only_cal,auc,0.6681337818705311
0.25,1,target_only_cal,accuracy,0.9849078508199101
0.25,1,vla,auc,0.6722726380411892
0.25,1,vla,accuracy,0.9856334349151067
0.25,1,vla_st,auc,0.6722726380411892
0.25,1,vla_st,accuracy,0.9856334349151067
0.25,1,routed,auc,0.6681337818705311
0.25,1,routed,accuracy,0.9849078508199101
0.25,1,oracle,auc,0.7326050552640658
0.25,1,oracle,accuracy,0.985778551734146
0.25,2,uda,auc,0.4916047994669902
0.25,2,uda,accuracy,0.9856334349151067
0.25,2,uda_cal,auc,0.4916047994669902
0.25,2,uda_cal,accuracy,0.9856334349151067
0.25,2,target_only,auc,0.6640335926996705
0.25,2,target_only,accuracy,0.9856334349151067
0.25,2,target_only_cal,auc,0.6640335926996705
0.25,2,target_only_cal,accuracy,0.9856334349151067
0.25,2,vla,auc,0.6579926175774232
0.25,2,vla,accuracy,0.9851980844579887
0.25,2,vla_st,auc,0.6579926175774232
0.25,2,vla_st,accuracy,0.9851980844579887
