fraction,seed,method,auc
0.005,3,oracle,0.9153331618214562
0.005,4,uda,0.6974273218420376
0.005,4,target_only,0.8031129405711346
0.005,4,vla,0.7000514535631592
0.005,4,vla_st,0.7493311036789299
0.005,4,routed,0.8031129405711346
0.005,4,oracle,0.9153331618214562
0.01,0,uda,0.6974273218420376
0.01,0,target_only,0.7835091330074608
0.01,0,vla,0.7935940313866736
0.01,0,vla_st,0.8218677643426807
0.01,0,routed,0.7835091330074608
0.01,0,oracle,0.9153331618214562
0.01,1,uda,0.6974273218420376
0.01,1,target_only,0.7494468741960381
0.01,1,vla,0.7161049652688449
0.01,1,vla_st,0.7373295600720351
0.01,1,routed,0.7494468741960381
0.01,1,oracle,0.9153331618214562
0.01,2,uda,0.6974273218420376
0.01,2,target_only,0.6717391304347826
0.01,2,vla,0.7046308206843325
0.01,2,vla_st,0.7465912014406997
0.01,2,routed,0.6717391304347826
0.01,2,oracle,0.9153331618214562
0.01,3,uda,0.6974273218420376
0.01,3,target_only,0.8942372009261642
0.01,3,vla,0.8952919989709287
0.01,3,vla_st,0.8917545665037305
0.01,3,routed,0.8942372009261642
0.01,3,oracle,0.9153331618214562
0.01,4,uda,0.6974273218420376
0.01,4,target_only,0.8456007203498841
0.01,4,vla,0.8470671468999228
0.01,4,vla_st,0.7871366092101878
0.01,4,routed,0.8456007203498841
0.01,4,oracle,0.9153331618214562
0.05,0,uda,0.6974273218420376
0.05,0,target_only,0.9047594545922305
0.05,0,vla,0.9071263184975559
0.05,0,vla_st,0.9018266014921533
0.05,0,routed,0.9047594545922305
0.05,0,oracle,0.9153331618214562
0.05,1,uda,0.6974273218420376
0.05,1,target_only,0.8976588628762543
0.05,1,vla,0.9022125032158477
0.05,1,vla_st,0.8945459223051196
0.05,1,routed,0.9022125032158477
0.05,1,oracle,0.9153331618214562
0.05,2,uda,0.6974273218420376
0.05,2,target_only,0.8979418574736301
0.05,2,vla,0.8905325443786982
0.05,2,vla_st,0.8874196038075636
0.05,2,routed,0.8979418574736301
0.05,2,oracle,0.9153331618214562
0.05,3,uda,0.6974273218420376
0.05,3,target_only,0.8983277591973244
0.05,3,vla,0.8713918188834576
0.05,3,vla_st,0.8946231026498584
0.05,3,routed,0.8983277591973244
0.05,3,oracle,0.9153331618214562
0.05,4,uda,0.6974273218420376
0.05,4,target_only,0.8703627476202727
0.05,4,vla,0.8668381785438641
0.05,4,vla_st,0.8816053511705687
0.05,4,routed,0.8703627476202727
0.05,4,oracle,0.9153331618214562
0.1,0,uda,0.6974273218420376
0.1,0,target_only,0.9118600463082068
0.1,0,vla,0.914252636995112
0.1,0,vla_st,0.9087213789554927
0.1,0,routed,0.9118600463082068
0.1,0,oracle,0.9153331618214562
0.1,1,uda,0.6974273218420376
0.1,1,target_only,0.9065603293028042
0.1,1,vla,0.9032930280421919
0.1,1,vla_st,0.9109338821713403
0.1,1,routed,0.9065603293028042
0.1,1,oracle,0.9153331618214562
0.1,2,uda,0.6974273218420376
0.1,2,target_only,0.9040648314895805
0.1,2,vla,0.9006431695394906
0.1,2,vla_st,0.904373552868536
