fraction,seed,method,metric,value
0.01,4,uda_cal,auc,
0.01,4,uda_cal,accuracy,
0.01,4,target_only,auc,0.8487231346840093
0.01,4,target_only,accuracy,0.7616666666666667
0.01,4,target_only_cal,auc,0.8487231346840093
0.01,4,target_only_cal,accuracy,0.7616666666666667
0.01,4,vla,auc,0.8729934558473108
0.01,4,vla,accuracy,0.7933333333333333
0.01,4,vla_st,auc,0.8526868221920006
0.01,4,vla_st,accuracy,0.7283333333333334
0.01,4,routed,auc,0.8729934558473108
0.01,4,routed,accuracy,0.7933333333333333
0.01,4,oracle,auc,0.9377840545849752
0.01,4,oracle,accuracy,0.8516666666666667
0.05,0,uda,auc,0.7855772919064058
0.05,0,uda,accuracy,0.5633333333333334
0.05,0,uda_cal,auc,
0.05,0,uda_cal,accuracy,
0.05,0,target_only,auc,0.9009194360172496
0.05,0,target_only,accuracy,0.8316666666666667
0.05,0,target_only_cal,auc,0.9009194360172496
0.05,0,target_only_cal,accuracy,0.8316666666666667
0.05,0,vla,auc,0.901239088235636
0.05,0,vla,accuracy,0.8083333333333333
0.05,0,vla_st,auc,0.8975194987853217
0.05,0,vla_st,accuracy,0.82
0.05,0,routed,auc,0.901239088235636
0.05,0,routed,accuracy,0.8083333333333333
0.05,0,oracle,auc,0.9377840545849752
0.05,0,oracle,accuracy,0.8516666666666667
0.05,1,uda,auc,0.7855772919064058
0.05,1,uda,accuracy,0.5633333333333334
0.05,1,uda_cal,auc,
0.05,1,uda_cal,accuracy,
0.05,1,target_only,auc,0.8991526310283503
0.05,1,target_only,accuracy,0.8116666666666666
0.05,1,target_only_cal,auc,0.8991526310283503
0.05,1,target_only_cal,accuracy,0.8116666666666666
0.05,1,vla,auc,0.90133788983041
0.05,1,vla,accuracy,0.8016666666666666
0.05,1,vla_st,auc,0.9049528658274343
0.05,1,vla_st,accuracy,0.815
0.05,1,routed,auc,0.90133788983041
0.05,1,routed,accuracy,0.8016666666666666
0.05,1,oracle,auc,0.9377840545849752
0.05,1,oracle,accuracy,0.8516666666666667
0.05,2,uda,auc,0.7855772919064058
0.05,2,uda,accuracy,0.5633333333333334
0.05,2,uda_cal,auc,
0.05,2,uda_cal,accuracy,
0.05,2,target_only,auc,0.8903709128104986
0.05,2,target_only,accuracy,0.8133333333333334
0.05,2,target_only_cal,auc,0.8903709128104986
0.05,2,target_only_cal,accuracy,0.8133333333333334
0.05,2,vla,auc,0.8923992514326232
0.05,2,vla,accuracy,0.8233333333333334
0.05,2,vla_st,auc,0.8880694168381165
0.05,2,vla_st,accuracy,0.825
0.05,2,routed,auc,0.8923992514326232
0.05,2,routed,accuracy,0.8233333333333334
0.05,2,oracle,auc,0.9377840545849752
0.05,2,oracle,accuracy,0.8516666666666667
0.05,3,uda,auc,0.7855772919064058
0.05,3,uda,accuracy,0.5633333333333334
0.05,3,uda_cal,auc,
0.05,3,uda_cal,accuracy,
0.05,3,target_only,auc,0.8995652729829946
0.05,3,target_only,accuracy,0.8266666666666667
0.05,3,target_only_cal,auc,0.8995652729829946
0.05,3,target_only_cal,accuracy,0.8266666666666667
