target,lake_size,metric,best_level,best_uda,baseline,oracle,n_sources,oracle_gap_closed
diabetes,421179,f1,level55,0.5740740740740741,0.4770642201834862,0.6481481481481481,940.0,
heart,200000,accuracy,level5,0.4629629629629629,0.2407407407407407,0.7962962962962963,1.0,
heart,421179,accuracy,level5,0.7222222222222222,0.5,0.7962962962962963,6.0,
heart,200000,auc,level5,0.3347222222222222,0.2527777777777777,0.8805555555555555,1.0,0.1305309734513275
heart,421179,auc,level5,0.8027777777777778,0.5541666666666667,0.8805555555555555,6.0,0.7617021276595746
heart,200000,f1,level5,0.4081632653061224,0.2264150943396226,0.7755102040816326,1.0,
heart,421179,f1,level5,0.6938775510204082,0.4489795918367347,0.7755102040816326,6.0,
turnover,200000,accuracy,level0,0.9856334349151068,0.9679291829923088,0.9760557248585112,2.0,
turnover,421179,accuracy,level55,0.9730082716586852,0.9709766361921348,0.9760557248585112,7.0,
turnover,200000,auc,level55,0.5050400947044057,0.5056096893552724,0.725085810995705,2.0,-0.0025952465653638008
turnover,421179,auc,level5,0.5160720871851614,0.4356261377021094,0.725085810995705,7.0,0.27791764071210223
turnover,200000,f1,level55,0.0603015075376884,0.0089686098654708,0.1708542713567839,2.0,
turnover,421179,f1,level55,0.0606060606060606,0.0,0.1708542713567839,7.0,
