table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
z_id_tables_licensed_Atl%C3%A9tico-GO_9,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Atl%C3%A9tico-MG_10,CV,NEGATIVE,otsu,0.25,31.0,0.967741935483871,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_11,CV,NEGATIVE,otsu,0.25,32.0,0.96875,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_14,CV,NEGATIVE,otsu,0.25,36.0,0.9722222222222222,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_15,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_16,CV,NEGATIVE,otsu,0.25,37.0,0.9459459459459459,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_17,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_18,CV,NEGATIVE,otsu,0.25,39.0,0.9487179487179487,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_3,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_4,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_5,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_6,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_7,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_8,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Atl%C3%A9tico-MG_9,CV,NEGATIVE,otsu,0.25,30.0,0.9666666666666667,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_10,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_11,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_12,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_13,CV,NEGATIVE,otsu,0.25,41.0,0.9512195121951219,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_14,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_15,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_16,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_17,CV,NEGATIVE,otsu,0.25,42.0,0.9523809523809523,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_18,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_19,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_2,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_20,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_21,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_22,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_23,CV,NEGATIVE,otsu,0.25,45.0,0.9555555555555556,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_4,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_5,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_6,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_7,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_8,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Bahia_9,CV,NEGATIVE,otsu,0.25,40.0,0.95,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_10,CV,NEGATIVE,otsu,0.25,45.0,0.9777777777777777,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_11,CV,NEGATIVE,otsu,0.25,47.0,0.9787234042553191,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_12,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_13,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_14,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_15,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_16,CV,NEGATIVE,otsu,0.25,48.0,0.9583333333333334,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_17,CV,NEGATIVE,otsu,0.25,48.0,0.9375,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_18,CV,NEGATIVE,otsu,0.25,48.0,0.9375,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_19,CV,NEGATIVE,otsu,0.25,48.0,0.9375,False,extreme_pos_rate,
z_id_tables_licensed_Botafogo_9,CV,NEGATIVE,otsu,0.25,45.0,0.9777777777777777,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino,CV,NEGATIVE,otsu,0.25,33.0,0.8787878787878788,False,concept_cap,
z_id_tables_licensed_Bragantino_1,CV,NEGATIVE,otsu,0.25,33.0,0.8787878787878788,False,concept_cap,
z_id_tables_licensed_Bragantino_10,CV,NEGATIVE,otsu,0.25,35.0,0.9142857142857143,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino_11,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Bragantino_12,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Bragantino_13,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Bragantino_14,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Bragantino_15,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Bragantino_16,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,duplicate,
z_id_tables_licensed_Bragantino_17,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,concept_cap,
z_id_tables_licensed_Bragantino_18,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,duplicate,
z_id_tables_licensed_Bragantino_19,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,concept_cap,
z_id_tables_licensed_Bragantino_2,CV,NEGATIVE,otsu,0.25,33.0,0.8787878787878788,False,duplicate,
z_id_tables_licensed_Bragantino_20,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,duplicate,
z_id_tables_licensed_Bragantino_21,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,concept_cap,
z_id_tables_licensed_Bragantino_22,CV,NEGATIVE,otsu,0.25,35.0,0.8857142857142857,False,duplicate,
z_id_tables_licensed_Bragantino_3,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino_5,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino_6,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino_7,CV,NEGATIVE,otsu,0.25,34.0,0.9117647058823529,False,extreme_pos_rate,
z_id_tables_licensed_Bragantino_8,CV,NEGATIVE,otsu,0.25,34.0,0.8823529411764706,False,concept_cap,
z_id_tables_licensed_Bragantino_9,CV,NEGATIVE,otsu,0.25,35.0,0.9142857142857143,False,extreme_pos_rate,
z_id_tables_licensed_Cear%C3%A1_10,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
z_id_tables_licensed_Cear%C3%A1_11,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
z_id_tables_licensed_Cear%C3%A1_12,CV,NEGATIVE,otsu,0.25,36.0,0.9166666666666666,False,extreme_pos_rate,
z_id_tables_licensed_Cear%C3%A1_13,CV,NEGATIVE,otsu,0.25,36.0,0.8888888888888888,False,duplicate,
z_id_tables_licensed_Cear%C3%A1_14,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_15,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,duplicate,
z_id_tables_licensed_Cear%C3%A1_16,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_17,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_18,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,duplicate,
z_id_tables_licensed_Cear%C3%A1_19,CV,NEGATIVE,otsu,0.25,37.0,0.8648648648648649,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_20,CV,NEGATIVE,otsu,0.25,38.0,0.868421052631579,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_21,CV,NEGATIVE,otsu,0.25,39.0,0.8717948717948718,False,concept_cap,
z_id_tables_licensed_Cear%C3%A1_22,CV,NEGATIVE,otsu,0.25,39.0,0.8717948717948718,False,concept_cap,
